Pen_PV,Pen_BESS,Pen_EV,B_Vmin,B_Vmax,B_VminVmax,Max_PLosses,Min_PLosses,Energy_Losses,Min_Fluxo_Subestacao,Trafo_Loading_pct,Vmin_24h,Vmax_24h,Sev_Vmin_pct,Sev_Vmax_pct,Sev_VminVmax_pct,Seed
70,0,0,0,16,16,969.0191,84.6043,9596.1538,-18410.0108,50.2162,0.9622,1.1406,0.0,26.9608,26.9608,171
70,0,0,0,17,17,969.0191,97.0196,10329.6867,-19143.4142,50.2162,0.9622,1.1695,0.0,26.4706,26.4706,172
70,0,0,0,17,17,1455.8772,97.0196,13002.832,-29344.7365,50.2162,0.9622,1.1482,0.0,24.0196,24.0196,173
70,0,0,0,15,15,2130.146,97.0196,15676.6705,-29855.0591,50.2162,0.9622,1.2202,0.0,24.5098,24.5098,174
70,0,0,0,17,17,2586.4839,97.0196,17224.2393,-27536.3615,50.2162,0.9622,1.2524,0.0,23.7745,23.7745,175
70,0,0,0,17,17,1476.285,96.5355,12565.0556,-18881.2415,50.2162,0.9622,1.2217,0.0,25.7353,25.7353,176
70,0,0,0,16,16,969.0191,63.2228,9275.2288,-19665.0615,50.2162,0.9622,1.1415,0.0,25.7353,25.7353,177
70,0,0,0,17,17,1465.9233,97.0196,13308.3729,-28124.0101,50.2162,0.9622,1.1405,0.0,24.5098,24.5098,178
70,0,0,0,12,12,1877.5665,97.0196,15355.6248,-20144.3757,50.2162,0.9622,1.1516,0.0,22.3039,22.3039,179
70,0,0,0,14,14,1187.8785,97.0196,11454.0376,-19510.321,50.2162,0.9622,1.1767,0.0,25.9804,25.9804,180
80,0,0,0,15,15,4802.2819,97.0196,26764.3643,-30800.0403,51.3334,0.9622,1.3379,0.0,24.0196,24.0196,181
80,0,0,0,17,17,1794.3685,97.0196,14026.4644,-28629.8894,50.2162,0.9622,1.2013,0.0,28.1863,28.1863,182
80,0,0,0,15,15,4673.8733,97.0196,24967.5602,-39672.3668,66.1206,0.9622,1.327,0.0,24.2647,24.2647,183
80,0,0,0,17,17,3381.8656,97.0196,20066.7533,-35663.5585,59.4393,0.9622,1.2957,0.0,25.7353,25.7353,184
80,0,0,0,15,15,1653.2038,97.0196,13633.857,-25482.9985,50.2162,0.9622,1.1644,0.0,28.1863,28.1863,185
80,0,0,0,15,15,1932.4554,97.0196,14909.7238,-25927.5862,50.2162,0.9622,1.1601,0.0,25.0,25.0,186
80,0,0,0,17,17,1071.3073,66.9471,10545.2724,-25009.1251,50.2162,0.9622,1.1526,0.0,29.1667,29.1667,187
80,0,0,0,16,16,5686.2762,97.0196,30071.6301,-32781.9957,54.6367,0.9622,1.3798,0.0,27.9412,27.9412,188
80,0,0,0,15,15,1637.7542,97.0196,13754.1899,-25326.238,50.2162,0.9622,1.1668,0.0,28.1863,28.1863,189
80,0,0,0,17,17,1186.5705,97.0196,11241.2514,-25009.5899,50.2162,0.9622,1.1563,0.0,28.4314,28.4314,190
90,0,0,0,17,17,3314.1207,97.0196,20274.1194,-34314.5446,57.1909,0.9622,1.2789,0.0,31.6176,31.6176,191
90,0,0,0,17,17,1733.2637,97.0196,13618.0331,-36712.4993,61.1875,0.9622,1.1423,0.0,29.6569,29.6569,192
90,0,0,0,17,17,3056.799,97.0196,19162.3017,-44313.9933,73.8567,0.9622,1.2221,0.0,27.9412,27.9412,193
90,0,0,0,17,17,1566.5183,93.463,12971.5035,-32915.446,54.8591,0.9622,1.1369,0.0,30.3922,30.3922,194
90,0,0,0,15,15,3070.5016,97.0196,19768.5123,-36172.8386,60.2881,0.9622,1.2449,0.0,27.2059,27.2059,195
90,0,0,0,17,17,2890.8879,97.0196,18212.6528,-38060.8956,63.4348,0.9622,1.2461,0.0,29.902,29.902,196
